	P(VFC)	P(MFC)	P(IPC)	P(ITC)	P(DFC)	P(OFC)	P(M1C)	P(S1C)	P(A1C)	P(AMY)	P(STC)	P(STR)	P(V1C)	P(HIP)	P(MD)	P(CBC)	I(VFC)	I(MFC)	I(IPC)	I(ITC)	I(DFC)	I(OFC)	I(M1C)	I(S1C)	I(A1C)	I(AMY)	I(STC)	I(STR)	I(V1C)	I(HIP)	I(MD)	I(CBC)	C(VFC)	C(MFC)	C(IPC)	C(ITC)	C(DFC)	C(OFC)	C(M1C)	C(S1C)	C(A1C)	C(AMY)	C(STC)	C(STR)	C(V1C)	C(HIP)	C(MD)	C(CBC)	A(VFC)	A(MFC)	A(IPC)	A(ITC)	A(DFC)	A(OFC)	A(M1C)	A(S1C)	A(A1C)	A(AMY)	A(STC)	A(STR)	A(V1C)	A(HIP)	A(MD)	A(CBC)	At(VFC)	At(MFC)	At(IPC)	At(ITC)	At(DFC)	At(OFC)	At(M1C)	At(S1C)	At(A1C)	At(AMY)	At(STC)	At(STR)	At(V1C)	At(HIP)	At(MD)	At(CBC)
ADAMTSL3	1.3495139	1.1419176	1.4419976	0.9137547	1.0821542	1.1439733	1.1845154	1.2075501	0.9052261	0.3493022	0.8019875	0.1816957	1.3119277	0.7139181	0.2133701	0.7211114	0.60961	0.7405066	0.570377	0.533957	0.5171328	0.4720218	0.772777	0.577852	0.6281577	0.6047868	0.631104	0.295682	0.686703	0.9188783	0.1607668	0.596029	0.2826333	0.4160977	0.2684916	0.282479	0.3329528	0.3875667	0.384146	0.3482887	0.305947	0.2767438	0.3102822	0.2400117	0.2656924	0.4439148	0.124842	0.2507177	0.3850453	0.4362123	0.3953842	0.418682	0.3673173	0.3709447	0.436406	0.3350047	0.336688	0.4786697	0.3517895	0.4479465	0.2159963	0.583116	0.3649935	0.2831502	0.452345	0.5276938	0.3679052	0.4414867	0.4365664	0.4742528	0.5199718	0.372495	0.3725518	0.5261102	0.3879387	0.4383775	0.300032	0.7851008	0.4360792	0.2842197
AKT3	55.75015	64.52709	83.08903	65.07408	63.52739	63.52015	88.70812	91.71813	68.26127	38.63739	63.11921	21.63803	75.49328	38.6906	22.36471	17.42019	16.57334	19.57028	20.92732	24.02808	17.34595	14.43211	17.40084	19.64842	20.06672	17.71911	21.1792	13.13648	24.85108	15.2984	16.91799	11.60035	12.356486	13.065803	13.714808	15.949203	12.918092	14.940962	12.326307	14.207913	16.15543	11.76038	12.906184	6.850371	14.90199	14.969323	12.856338	11.874286	14.923029	14.630389	22.311435	19.357705	17.229623	14.771549	15.297514	16.812821	17.770605	17.484284	21.652749	12.448787	13.802789	9.518967	12.922459	13.159997	23.63723	21.92993	25.17019	24.36431	23.25352	22.12628	19.89641	21.30453	21.65419	14.77564	23.83193	10.21117	23.70278	15.86217	19.46614	13.72697
AMBRA1	8.927627	8.539342	9.332563	9.416998	8.297588	8.409279	9.258527	9.706362	8.696713	8.038208	8.684986	11.331727	9.053962	7.731062	9.026912	6.617997	6.087198	6.728504	6.975562	6.223221	6.849526	6.134507	6.542922	6.532082	6.093784	5.759955	6.060573	8.180267	7.045079	4.517731	4.930571	6.569531	3.998768	3.851173	4.121319	3.250187	4.208133	4.346916	3.983229	3.56785	4.363554	3.660288	4.198609	4.505361	4.794428	3.740881	4.097428	6.334819	5.705539	4.583742	5.224592	6.083407	6.077558	5.994518	5.473469	4.97187	4.514916	6.595934	5.336774	6.25086	4.839314	4.827072	5.551239	6.970384	5.554809	5.078735	5.439227	5.036304	4.926605	5.794079	5.128601	5.340825	5.204872	4.829939	6.119703	5.673807	4.925955	4.424268	4.739482	6.306294
APOPT1	8.595177	8.208483	7.892218	7.346191	8.352779	8.199039	7.092439	7.409035	7.910916	8.84164	8.42492	10.047752	7.300805	7.503749	13.659186	9.202292	7.237486	6.826607	6.895722	7.960681	7.858697	7.205236	6.243823	7.049486	8.091804	5.861132	7.347107	6.910227	6.592656	6.680334	6.743473	6.118911	8.486808	6.941315	8.086316	8.295387	8.279097	7.040241	8.772872	9.14816	8.288783	8.46439	10.533983	8.959757	6.231972	6.639133	7.808539	5.780955	5.079683	5.302596	5.29592	5.22253	5.647299	5.620044	4.50361	4.765184	5.558902	4.854289	5.108207	4.550623	4.817131	4.740782	5.213232	4.504811	4.577313	4.47802	4.662693	5.370376	6.292085	4.495222	6.302259	5.915337	5.950172	6.161745	4.53088	4.717243	4.94488	6.815276	5.094422	5.767183
ATP2A2	24.3806	24.55886	26.34954	26.338	23.35487	24.44567	28.17388	27.62472	26.28849	24.13326	23.06422	25.77291	23.47205	24.10216	27.7644	27.29915	43.33224	44.2565	46.8313	39.60092	43.42355	40.34938	52.18635	50.46267	50.09646	44.12048	42.03392	68.22989	56.36531	40.65773	84.86769	36.25145	45.24009	39.72637	49.39972	46.84721	41.21366	46.37699	46.09359	43.30292	51.0578	30.79167	45.50581	28.85819	59.0995	43.17757	67.19852	39.27071	49.597	41.5783	59.65327	46.55534	55.18023	49.10588	51.41364	52.70143	50.03021	45.05636	54.44476	62.38929	47.93258	33.44954	69.86383	46.87824	65.19874	56.40672	66.59004	56.64968	60.57913	61.47023	60.49403	61.995	58.06129	40.88931	69.83482	48.37407	75.93979	44.83384	88.84516	42.98535
BCL11B	38.190514	49.331207	34.408104	25.217853	50.745395	48.706934	65.985067	52.931948	24.376141	27.021615	28.41973	66.406907	41.834653	19.167175	2.17128	1.232601	1.9456777	2.3284498	1.3945372	1.821375	1.4134314	1.3906066	1.8690407	1.9938312	2.2665043	5.3276448	1.5580367	21.097598	1.5631772	5.9083413	0.1004364	0.0600682	0.9975515	1.37010475	1.2637276	1.2958908	0.983938	1.12647	1.56228575	1.36765533	1.1887446	4.0812715	1.121195	6.49383	1.0807252	5.26297775	0.10101333	0.03212833	1.86567	1.9076467	1.6971387	1.534822	2.0515343	1.5689913	2.0023863	1.5981627	1.3806593	5.558245	1.3052142	12.52016	1.241871	4.548068	0.144585	0.0360785	1.9096135	2.6229898	1.7077743	1.5362647	1.9451176	1.6047303	2.2880927	1.8246367	1.4702247	3.991831	1.660917	10.0119223	1.5540654	5.6159315	0.1403487	0.0540755
C10orf32	7.020015	8.141412	6.580242	6.788364	7.467446	7.974788	6.482736	6.89346	6.483532	9.052212	6.934564	8.961068	6.877753	10.463259	10.163561	11.006552	10.769551	10.242214	9.998539	12.388146	12.021758	12.14891	8.410125	10.399438	12.092246	10.929238	11.522796	10.127642	10.259	12.791073	8.263004	9.702806	10.550029	9.165216	12.086644	14.226286	8.328617	9.398703	11.397932	13.563628	10.079987	11.364124	13.996598	12.890446	9.562601	13.618054	9.305111	6.987313	8.69452	9.834339	8.136223	9.100356	9.046275	8.545959	7.642015	7.774884	9.036816	8.104584	7.317266	8.336856	8.792841	8.663834	6.869675	7.916733	7.906205	9.456387	8.842021	11.721882	10.276971	8.320826	8.381537	9.285669	9.810073	15.058676	8.013494	10.476042	8.867847	16.073032	7.337911	9.063411
C11orf31	25.867	27.63549	24.76301	23.81825	28.39746	25.87987	20.57487	21.06943	24.50805	30.48544	29.23042	32.78118	26.91139	31.25208	27.73051	25.65241	26.40302	26.04343	28.2945	29.4472	32.69716	30.82796	23.60456	27.77103	25.04084	24.26074	29.57647	31.28728	28.65601	23.84946	23.67817	23.273	45.71565	31.95692	37.50447	31.60659	42.17323	28.97415	42.06361	44.54325	33.18696	34.15571	52.76339	42.70242	30.3234	27.90829	29.3717	20.93772	22.59286	20.18668	22.6051	22.082	23.56552	24.71473	19.79988	21.1051	19.0142	19.23227	23.14742	14.20055	22.5616	16.54965	19.84814	16.02365	23.06866	22.83627	23.71146	23.91875	29.60626	23.96747	33.49483	33.95783	32.62786	28.20127	24.62078	22.96409	25.39189	34.16167	18.71322	23.01593
C3orf49	0.2023416	0.1887438	0.2061508	0.1591457	0.1720248	0.1729838	0.2212648	0.2092668	0.1815219	0.1376428	0.1770386	0.1787361	0.1684005	0.1181363	0.2510294	0.2929324	0.4640925	0.6443572	0.449142	0.4642997	0.4917516	0.4506454	0.3667527	0.4545095	0.4101057	0.332231	0.541829	0.4656613	0.6163808	0.3869635	0.2628454	0.2796478	0.5474722	0.4873187	0.492071	0.5738922	0.4547308	0.6719127	0.482788	0.929444	0.8338686	0.2675988	0.5190307	0.3055473	0.673799	0.3033783	0.3434547	0.6299747	0.777948	0.7057407	0.8471933	0.6526405	0.862992	0.634835	0.725405	0.914373	0.8164877	0.4967157	0.9169818	0.5728665	0.7614517	0.3761993	0.326287	0.6532843	1.1297538	0.871474	1.1718165	0.8288515	1.2249276	0.9111078	0.967014	1.0572382	0.9580087	0.3743395	1.0024012	0.4403927	1.194952	0.4910295	0.4692772	0.640194
CACNA1C	1.919561	1.607393	2.331909	2.503883	1.495934	1.529614	1.788212	2.049238	2.298313	1.570331	2.376196	2.893004	2.24911	1.169049	2.372472	1.367981	2.207727	2.636795	2.400676	2.219985	2.155912	1.823526	2.555083	2.227203	2.601745	2.823897	2.280553	3.763839	3.493575	1.691488	3.622574	2.830529	1.373237	1.324105	1.521814	1.290894	1.454263	1.470622	1.073037	1.128084	2.083758	1.520169	1.581896	0.769651	2.085339	1.021481	2.523228	2.697439	2.238533	2.112159	2.661626	2.509788	2.511125	2.471396	2.096304	2.183923	2.065941	3.056542	2.726659	1.826285	2.281045	1.589905	3.687396	1.658886	3.304075	3.745755	3.438925	2.858305	2.795484	3.619915	3.053043	3.376304	3.073957	2.259863	3.616177	1.595848	3.555117	1.988907	4.445601	1.511324
