,gi,gj,known
0,ABI2,SATB2,False
1,ACACA,MPHOSPH9,False
2,ACOT8,GRIN2A,False
3,ACTR1A,CNNM2,False
4,ACVR1B,SHMT2,False
5,ADAM23,SATB2,False
6,ADAMTS8,IGSF9B,False
7,ADAMTSL3,ALPK3,False
8,ADAMTSL3,BNC1,False
9,ADAMTSL3,EFTUD1,False
10,ADAMTSL3,FAM103A1,False
11,ADAMTSL3,GOLGA2P10,False
12,ADAMTSL3,HDGFRP3,False
13,ADAMTSL3,IDH3A,False
14,ADCY10,AKT1,False
15,ADGRA1,MPP6,False
16,ADGRA2,NRG1,False
17,AGFG1,CUL3,False
18,AHNAK2,APOPT1,False
19,AHRR,SLC6A3,False
20,AIMP2,MAD1L1,False
21,AKT1,APOC1,False
22,AKT1,CDC42,False
23,AKT1,ITSN1,False
24,AKT1,MIS12,False
25,AKT3,CALM2,False
26,AKT3,CCNT2,False
27,AKT3,PTEN,False
28,AKT3,SDCCAG8,False
29,ALDH1B1,FES,False
30,ALDH3A2,DISC1,False
31,ALDH6A1,CHRNA5,False
32,ALG14,MIR137HG,False
33,ALPP,MPHOSPH9,False
34,ALX4,AMBRA1,False
35,AMBRA1,CREM,False
36,AMBRA1,HSD17B12,False
37,AMBRA1,KBTBD4,False
38,AMBRA1,MTCH2,False
39,AMBRA1,PEX11A,False
40,AMBRA1,SLC35C1,False
41,ANXA10,CLCN3,False
42,ANXA11,MPHOSPH9,False
43,ANXA2R,HCN1,False
44,ANXA5,MAD1L1,False
45,APBA3,BDNF,False
46,APC,MAN2A1,False
47,APH1B,NAB2,False
48,APOA5,GRM3,False
49,APOBEC1,CACNA1I,False
50,APOC2,APOE,False
51,APOC4,APOE,False
52,APOE,CD1D,False
53,APOE,CD79A,False
54,APOE,CEACAM1,False
55,APOE,CST1,False
56,APOE,ZBP1,False
57,APOL1,CACNA1I,False
58,APOPT1,IGHV5-78,False
59,APOPT1,INF2,False
60,APOPT1,TDRD9,False
61,APOPT1,TRMT61A,False
62,AQR,CHRNA7,False
63,AREL1,RGS6,False
64,ARF5,MPHOSPH9,False
65,ARF5,MPP6,False
66,ARFGEF2,PTGIS,False
67,ARGLU1,DAOA,False
68,ARHGAP1,BDNF,False
69,ARL4C,GIGYF2,False
70,ARPC3,SRPK2,False
71,AS3MT,CNNM2,False
72,ASB3,VRK2,False
73,ASIC2,SMG6,False
74,ASPH,STAG1,False
75,ATG16L1,GIGYF2,False
76,ATP2A2,FGL2,False
77,ATP2A2,SMCO4,False
78,ATP2A2,UNG,False
79,ATP2B1,DAO,False
80,ATP6V0A2,MPHOSPH9,False
81,BCL11B,BEGAIN,False
82,BCL11B,C14orf132,False
83,BCL11B,WDR25,False
84,BDNF,CD44,False
85,BDNF,CD59,False
86,BDNF,MBTPS2,False
87,BDNF,MPPED2,False
88,BDNF,PSMC3,False
89,BET1,GRM3,False
90,BLM,FES,False
91,BLOC1S3,DTNBP1,False
92,BRE,VRK2,False
93,BRS3,COMT,False
94,BTF3,PTGIS,False
95,BYSL,ETF1,False
96,BYSL,RGS4,False
97,C10orf32,C10orf95,False
98,C10orf32,SFXN2,False
99,C10orf67,CACNB2,False
100,C10orf76,CNNM2,False
101,C11orf31,OOSP2,False
102,C11orf31,PATL1,False
103,C15orf41,PAK6,False
104,C19orf12,ZNF536,False
105,C1orf54,OTUD7B,False
106,C2,TNF,False
107,C22orf29,ZDHHC8,False
108,C22orf46,CENPM,False
109,C4orf27,CLCN3,False
110,C5orf34,HCN1,False
111,CA3,GRM3,False
112,CAB39,GIGYF2,False
113,CABP1,MPHOSPH9,False
114,CACNA1C,CD9,False
115,CACNA1C,RAD51AP1,False
116,CACNA1C,XRCC5,False
117,CACNA1H,PAK6,False
118,CACNA1I,DNAL4,False
119,CACNA1I,GTPBP1,False
