,gene,interactor
0,ADAMTSL3,Candidate
1,AKT1,Candidate
2,AKT3,Candidate
3,AMBRA1,Candidate
4,APOE,Candidate
5,APOPT1,Candidate
6,ATP2A2,Candidate
7,BCL11B,Candidate
8,BDNF,Candidate
9,C10orf32,Candidate
10,C10orf32-ASMT,Candidate
11,C11orf31,Candidate
12,C3orf49,Candidate
13,CACNA1C,Candidate
14,CACNA1I,Candidate
15,CACNB2,Candidate
16,CENPM,Candidate
17,CHRNA3,Candidate
18,CHRNA5,Candidate
19,CHRNA7,Candidate
20,CLCN3,Candidate
21,CNNM2,Candidate
22,CNTN4,Candidate
23,COMT,Candidate
24,CSMD1,Candidate
25,CUL3,Candidate
26,CYP26B1,Candidate
27,DAO,Candidate
28,DAOA,Candidate
29,DGKI,Candidate
30,DISC1,Candidate
31,DPYD,Candidate
32,DRD2,Candidate
33,DRD3,Candidate
34,DRD4,Candidate
35,DTNBP1,Candidate
36,EP300-AS1,Candidate
37,EPC2,Candidate
38,ETF1,Candidate
39,FES,Candidate
40,FLJ45743,Candidate
41,GALNT10,Candidate
42,GID4,Candidate
43,GIGYF2,Candidate
44,GPM6A,Candidate
45,GRAMD1B,Candidate
46,GRIN2A,Candidate
47,GRM3,Candidate
48,HCN1,Candidate
49,HTR2A,Candidate
50,IGSF9B,Candidate
51,IMMP2L,Candidate
52,KCNN3,Candidate
53,KDM3B,Candidate
54,LINC0147,Candidate
55,LOC100507431,Candidate
56,MAD1L1,Candidate
57,MAN2A1,Candidate
58,MIR137HG,Candidate
59,MPHOSPH9,Candidate
60,MPP6,Candidate
61,MTHFR,Candidate
62,NAB2,Candidate
63,NFATC3,Candidate
64,NLGN4X,Candidate
65,NOTCH4,Candidate
66,NRG1,Candidate
67,NRGN,Candidate
68,OTUD7B,Candidate
69,PAK6,Candidate
70,PLCH2,Candidate
71,PPP1R16B,Candidate
72,PPP3CC,Candidate
73,PRKD1,Candidate
74,PRODH,Candidate
75,PRRG2,Candidate
76,PTGIS,Candidate
77,RERE,Candidate
78,RGS4,Candidate
79,RGS6,Candidate
80,SATB2,Candidate
81,SDCCAG8,Candidate
82,SHMT2,Candidate
83,SLC6A3,Candidate
84,SLC6A4,Candidate
85,SMG6,Candidate
86,SNAP91,Candidate
87,SOX2-OT,Candidate
88,SRPK2,Candidate
89,STAG1,Candidate
90,TCF20,Candidate
91,TCF4,Candidate
92,TMTC1,Candidate
93,TMX2-CTNND1,Candidate
94,TNF,Candidate
95,TSNARE1,Candidate
96,TYW5,Candidate
97,VRK2,Candidate
98,ZDHHC8,Candidate
99,ZNF536,Candidate
100,ZNF804A,Candidate
101,ABI2,Novel
102,ACACA,Novel
103,ACOT8,Novel
104,ACTR1A,Novel
105,ACVR1B,Novel
106,ADAM23,Novel
107,ADAMTS8,Novel
108,ADCY10,Novel
109,ADGRA1,Novel
110,ADGRA2,Novel
111,AGFG1,Novel
112,AHNAK2,Novel
113,AHRR,Novel
114,AIMP2,Novel
115,ALDH1B1,Novel
116,ALDH3A2,Novel
117,ALDH6A1,Novel
118,ALG14,Novel
119,ALPK3,Novel
120,ALPP,Novel
121,ALX4,Novel
122,ANXA10,Novel
123,ANXA11,Novel
124,ANXA2R,Novel
125,ANXA5,Novel
126,APBA3,Novel
127,APH1B,Novel
128,APOA5,Novel
129,APOBEC1,Novel
130,APOC1,Novel
131,APOC2,Novel
132,APOC4,Novel
133,APOL1,Novel
134,AQR,Novel
135,AREL1,Novel
136,ARF5,Novel
137,ARFGEF2,Novel
138,ARHGAP1,Novel
139,ARL4C,Novel
140,ARPC3,Novel
141,AS3MT,Novel
142,ASB3,Novel
143,ASIC2,Novel
144,ASPH,Novel
145,ATG16L1,Novel
146,ATP2B1,Novel
147,ATP6V0A2,Novel
148,BEGAIN,Novel
149,BET1,Novel
150,BLM,Novel
151,BLOC1S3,Novel
152,BNC1,Novel
153,BRE,Novel
154,BRS3,Novel
155,BTF3,Novel
156,BYSL,Novel
157,C10orf67,Novel
158,C10orf76,Novel
159,C10orf95,Novel
160,C14orf132,Novel
161,C15orf41,Novel
162,C19orf12,Novel
163,C1orf54,Novel
164,C2,Novel
165,C22orf29,Novel
166,C22orf46,Novel
167,C4orf27,Novel
168,C5orf34,Novel
169,CA3,Novel
170,CAB39,Novel
171,CACNA1H,Novel
172,CALB2,Novel
173,CAMTA1,Novel
174,CAP2,Novel
175,CARS,Novel
176,CASC5,Novel
177,CASP1,Novel
178,CASR,Novel
179,CBWD1,Novel
180,CCAR1,Novel
181,CCDC134,Novel
182,CCDC91,Novel
183,CCL16,Novel
184,CCL22,Novel
185,CCL4,Novel
186,CCND2,Novel
187,CCNT2,Novel
188,CD1D,Novel
189,CD3E,Novel
190,CD3G,Novel
191,CD44,Novel
192,CD59,Novel
193,CD79A,Novel
194,CD9,Novel
195,CDC42SE1,Novel
196,CDK2AP1,Novel
197,CDK5RAP1,Novel
198,CDKL3,Novel
199,CDON,Novel
200,CEACAM1,Novel
201,CEBPD,Novel
202,CEBPG,Novel
203,CELSR2,Novel
204,CEP104,Novel
205,CEP44,Novel
206,CHCHD3,Novel
207,CHST12,Novel
208,CLDN18,Novel
209,CLUH,Novel
210,CNST,Novel
211,CNTN5,Novel
212,CNTN6,Novel
213,COMMD6,Novel
214,CPB2,Novel
215,CRABP1,Novel
216,CRABP2,Novel
217,CREM,Novel
218,CSDE1,Novel
219,CSF2,Novel
220,CSGALNACT1,Novel
221,CST1,Novel
222,CTIF,Novel
223,CTSG,Novel
224,CTTNBP2,Novel
225,CXADR,Novel
226,CYP51A1,Novel
227,CYTH2,Novel
228,DACH1,Novel
229,DDR2,Novel
230,DECR1,Novel
231,DEGS1,Novel
232,DEK,Novel
233,DESI1,Novel
234,DGKH,Novel
235,DHDDS,Novel
236,DIRAS3,Novel
237,DKK 4,Novel
238,DNAJC10,Novel
239,DNAL4,Novel
240,DPCD,Novel
241,DUSP19,Novel
242,E2F6,Novel
243,EFTUD1,Novel
244,EGLN1,Novel
245,EI24,Novel
246,ELAC2,Novel
247,EML1,Novel
248,ENTPD4,Novel
249,EPB41L4A-AS1,Novel
250,EPHA2,Novel
251,ERAP2,Novel
252,ETFA,Novel
253,ETFDH,Novel
254,ETNK1,Novel
255,EXTL1,Novel
256,FAM103A1,Novel
257,FAM106A,Novel
258,FAM13B,Novel
259,FAM171B,Novel
260,FAM53C,Novel
261,FAM63A,Novel
262,FAM83D,Novel
263,FAP,Novel
264,FBLN1,Novel
265,FBXL15,Novel
266,FBXO21,Novel
267,FBXO42,Novel
268,FBXO8,Novel
269,FGFR1,Novel
270,FGL2,Novel
271,FHL2,Novel
272,FSCN1,Novel
273,FURIN,Novel
274,FZD3,Novel
275,GABARAPL2,Novel
276,GEMIN5,Novel
277,GFRA2,Novel
278,GGT3P,Novel
279,GHRL,Novel
280,GJD2,Novel
281,GMFG,Novel
282,GNAS,Novel
283,GOLGA2P10,Novel
284,GPC6,Novel
285,GPR137B,Novel
286,GPR85,Novel
287,GPR88,Novel
288,GPRC5C,Novel
289,GSC2,Novel
290,GTF2H2,Novel
291,GTPBP1,Novel
292,GUK1,Novel
293,GYPA,Novel
294,HCAR3,Novel
295,HCK,Novel
296,HDGFL1,Novel
297,HDGFRP3,Novel
298,HMGXB4,Novel
299,HOPX,Novel
300,HOXA10,Novel
301,HPCA,Novel
302,HRH1,Novel
303,HS3ST1,Novel
304,HSD17B12,Novel
305,IDH3A,Novel
306,IGHV5-78,Novel
307,IL10RA,Novel
308,ILF2,Novel
309,INF2,Novel
310,INPPL1,Novel
311,ISG20,Novel
312,ITM2C,Novel
313,JOSD1,Novel
314,KBTBD4,Novel
315,KCNC4,Novel
316,KCNJ3,Novel
317,KCNJ4,Novel
318,KCNK4,Novel
319,KIAA1715,Novel
320,KIF2C,Novel
321,KMT2D,Novel
322,KNTC1,Novel
323,KXD1,Novel
324,LAMP3,Novel
325,LCP1,Novel
326,LCP2,Novel
327,LEPROTL1,Novel
328,LIPF,Novel
329,LIPG,Novel
330,LOC153684,Novel
331,LPPR5,Novel
332,LRP2BP,Novel
333,LRRC48,Novel
334,LTB4R2,Novel
335,MAN2A2,Novel
336,MARS2,Novel
337,MBTPS2,Novel
338,MCEE,Novel
339,MED23,Novel
340,MEIS2,Novel
341,METTL21A,Novel
342,MICAL3,Novel
343,MIS12,Novel
344,MITF,Novel
345,MKI67,Novel
346,MKRN2,Novel
347,MLEC,Novel
348,MMADHC,Novel
349,MMP23B,Novel
350,MOB1B,Novel
351,MPPED2,Novel
352,MPZ,Novel
